CustomerKey,FirstName,LastName,Gender,DateFirstPurchase,Customer City,Customer Country
11000,Jon,Yang,M,2018-01-19,Rockhampton,Australia
11001,Eugene,Huang,M,2018-01-15,Seaford,Australia
11002,Ruben,Torres,M,2018-01-07,Hobart,Australia
11003,Christy,Zhu,F,2017-12-29,North Ryde,Australia
11004,Elizabeth,Johnson,F,2018-01-23,Wollongong,Australia
11005,Julio,Ruiz,M,2017-12-30,East Brisbane,Australia
11006,Janet,Alvarez,F,2018-01-24,Matraville,Australia
11007,Marco,Mehta,M,2018-01-09,Warrnambool,Australia
11008,Rob,Verhoff,F,2018-01-25,Bendigo,Australia
11009,Shannon,Carlson,M,2018-01-27,Hervey Bay,Australia
11010,Jacquelyn,Suarez,F,2018-01-14,East Brisbane,Australia
11011,Curtis,Lu,M,2017-12-30,East Brisbane,Australia
11012,Lauren,Walker,F,2020-03-16,Bremerton,United States
11013,Ian,Jenkins,M,2020-04-13,Lebanon,United States
11014,Sydney,Bennett,F,2020-03-23,Redmond,United States
11015,Chloe,Young,F,2020-01-18,Burbank,United States
11016,Wyatt,Hill,M,2020-02-09,Imperial Beach,United States
11017,Shannon,Wang,F,2018-01-12,Sunbury,Australia
11018,Clarence,Rai,M,2018-01-17,Bendigo,Australia
11019,Luke,Lal,M,2020-02-12,Langley,Canada
11020,Jordan,King,M,2019-12-29,Metchosin,Canada
11021,Destiny,Wilson,F,2020-01-23,Beaverton,United States
11022,Ethan,Zhang,M,2020-01-20,Bellingham,United States
11023,Seth,Edwards,M,2020-02-17,Bellflower,United States
11024,Russell,Xie,M,2020-06-27,Concord,United States
11025,Alejandro,Beck,M,2018-01-06,Hawthorne,Australia
11026,Harold,Sai,M,2018-01-23,Goulburn,Australia
11027,Jessie,Zhao,M,2018-01-16,Warrnambool,Australia
11028,Jill,Jimenez,F,2018-01-26,St. Leonards,Australia
11029,Jimmy,Moreno,M,2018-01-19,Bendigo,Australia
11030,Bethany,Yuan,F,2018-02-05,Cloverdale,Australia
11031,Theresa,Ramos,F,2018-02-01,Matraville,Australia
11032,Denise,Stone,F,2018-02-18,Melbourne,Australia
11033,Jaime,Nath,M,2018-02-15,Milsons Point,Australia
